236,"Amritsar","India",31.640000,74.860000,1132383,423.8000000000,0.685
237,"Agadez","Niger",16.995900,7.982800,117770,19.8000000000,0.419
238,"Bahrain","Pakistan",35.207500,72.545600,102253,255.4000000000,0.544
239,"Agadir","Morocco",30.421400,-9.583100,538000,83.6000000000,0.710
240,"Baia Farta","Angola",-12.607200,13.194400,107841,27.2000000000,0.616
241,"Agartala","India",23.831400,91.286900,522613,423.8000000000,0.685
242,"Baia Mare","Romania",47.656700,23.571900,108759,80.2000000000,0.845
243,"Baicheng","China",23.903000,106.619000,3571505,148.8000000000,0.797
244,"Amroha","India",28.904400,78.467500,198471,423.8000000000,0.685
245,"Amsterdam","Netherlands",52.372800,4.893600,1477213,4003.6000000000,0.955
246,"Agboville","Ivory Coast",5.933300,-4.216700,135082,83.9000000000,0.582
247,"An","Myanmar",19.783300,94.033300,119714,81.0000000000,0.609
248,"Bhatinda","India",30.230000,74.951900,285813,423.8000000000,0.685
249,"An Najaf","Iraq",32.029000,44.339600,724700,93.9000000000,0.695
250,"Agege","Nigeria",6.621900,3.325800,683600,228.8000000000,0.560
251,"Bhatpara","India",22.870000,88.410000,386019,423.8000000000,0.685
252,"An Nasiriyah","Iraq",31.043900,46.257500,541600,93.9000000000,0.695
253,"Ageoshimo","Japan",35.977400,139.593200,226616,333.5000000000,0.925
254,"Bhavnagar","India",21.760000,72.150000,643382,423.8000000000,0.685
255,"An Nhon","Vietnam",13.917000,109.083000,350000,296.4000000000,0.766
256,"An Nuhud","Sudan",12.690400,28.420000,108008,23.8000000000,0.511
257,"Agra","India",27.180000,78.020000,1760285,145.5000000000,0.685
258,"Anaco","Venezuela",9.481900,-64.491700,106000,31.3000000000,0.709
259,"Agri","Turkey",39.718600,43.050800,148765,108.5000000000,0.853
260,"Anaheim","United States of America",33.839000,-117.857400,344553,35.5000000000,0.938
261,"Bhawana","Pakistan",31.566100,72.646100,373841,255.4000000000,0.544
262,"Aguachica","Colombia",8.316700,-73.633300,109621,129.7000000000,0.788
263,"Anand","India",22.556000,72.951000,130462,423.8000000000,0.685
264,"Bhayandar","India",19.290000,72.850000,809378,423.8000000000,0.685
265,"Aguadilla","Puerto Rico",18.438200,-67.153700,235546,318.9000000000,0.897
266,"Bhilai","India",21.210000,81.380000,624700,423.8000000000,0.685
267,"Aguascalientes","Mexico",21.876000,-102.296000,934424,801.6000000000,0.789
268,"Bhilai Karanja","India",21.219800,81.457500,107170,423.8000000000,0.685
269,"Ananindeua","Brazil",-1.365800,-48.371900,478778,25.1000000000,0.786
270,"Ahar","Iran",38.479700,47.066900,100641,51.6000000000,0.799
271,"Bhilwara","India",25.350000,74.630000,709483,423.8000000000,0.685
272,"Anantapur","India",14.680000,77.599000,267161,423.8000000000,0.685
273,"Ahmadnagar","India",19.080000,74.730000,350859,423.8000000000,0.685
274,"Bhimavaram","India",16.543000,81.523000,142184,423.8000000000,0.685
275,"Anapolis","Brazil",-16.326900,-48.952800,288085,25.1000000000,0.786
276,"Ahmadpur East","Pakistan",29.143900,71.259200,128112,255.4000000000,0.544
277,"Bhind","India",26.564700,78.786400,197585,423.8000000000,0.685
278,"Ahmedabad","India",23.022500,72.571400,8009000,423.8000000000,0.685
279,"Bhiwandi","India",19.296700,73.063100,709665,423.8000000000,0.685
280,"Bhiwani","India",28.780000,76.130000,197662,423.8000000000,0.685
281,"Baidoa","Somalia",3.116700,43.650000,1200000,25.7000000000,0.404
282,"Bairia","India",25.758300,84.148900,386745,423.8000000000,0.685
283,"Bhopal","India",23.259900,77.412600,1798218,423.8000000000,0.685
284,"Ahor","India",25.367000,72.783000,239642,423.8000000000,0.685
285,"Baisha","China",29.489600,119.337000,442709,148.8000000000,0.797
286,"Bhubaneshwar","India",20.270000,85.840000,837737,423.8000000000,0.685
287,"Bhuj","India",23.250000,69.670000,188236,423.8000000000,0.685
288,"Ahuachapan","El Salvador",13.916700,-89.850000,135325,309.8000000000,0.678
289,"Ahvaz","Iran",31.304700,48.678300,1325000,51.6000000000,0.799
290,"Baishan","China",41.944000,126.414700,968373,148.8000000000,0.797
291,"Aihua","China",24.416700,100.100000,115047,148.8000000000,0.797
292,"Bhusaval","India",21.050000,75.770000,187421,423.8000000000,0.685
293,"Baiyashi","China",26.401900,111.286400,130256,148.8000000000,0.797
294,"Ailan Mubage","China",43.908000,81.277700,778047,148.8000000000,0.797
295,"Biak","Indonesia",-1.180000,136.080000,103610,145.1000000000,0.728
296,"Baiyin","China",36.545100,104.138900,1512110,148.8000000000,0.797
297,"Ain Beida","Algeria",35.783300,7.383300,116064,18.7000000000,0.763
298,"Bialystok","Poland",53.135300,23.145600,294242,2861.5000000000,0.906
299,"Bakaga","Benin",9.350000,2.616700,206667,110.6000000000,0.515
300,"Ain Oussera","Algeria",35.448900,2.904400,101239,18.7000000000,0.763
301,"Bibemi","Cameroon",9.316700,13.883300,133191,57.3000000000,0.588
302,"Bakersfield","United States of America",35.352900,-119.035900,578542,35.5000000000,0.938
303,"Ait Ali","Morocco",30.176500,-9.488600,113236,83.6000000000,0.710
304,"Bida","Nigeria",9.080400,6.010000,173849,228.8000000000,0.560
305,"Baku","Azerbaijan",40.366700,49.835200,2300500,118.1000000000,0.789
306,"Ait Melloul","Morocco",30.334200,-9.497200,210870,83.6000000000,0.710
307,"Bidar","India",17.912000,77.520000,172298,423.8000000000,0.685
308,"Balakovo","Russia",52.033300,47.783300,181724,8.5000000000,0.832
309,"Aix-en-Provence","France",43.526300,5.445400,147933,786.6000000000,0.920
310,"Balanga","Philippines",14.680000,120.530000,104173,324.4000000000,0.720
311,"Balangir","India",20.720000,83.480000,112544,423.8000000000,0.685
312,"Bielefeld","Germany",52.021100,8.534700,338410,1307.4000000000,0.959
313,"Aizawl","India",23.727200,92.717800,293416,423.8000000000,0.685
314,"Bielsko-Biala","Poland",49.822500,19.044400,169089,1333.5000000000,0.906
315,"Bien Hoa","Vietnam",10.950000,106.816700,1575000,296.4000000000,0.766
316,"Balashikha","Russia",55.816700,37.966700,530311,8.5000000000,0.832
317,"Bihar","India",25.197000,85.518000,297268,423.8000000000,0.685
318,"Bihta","India",25.561900,84.870000,617427,423.8000000000,0.685
319,"Bijapur","India",16.830000,75.710000,327427,423.8000000000,0.685
320,"Balasore","India",21.503300,86.925000,144373,423.8000000000,0.685
321,"Baleraja","Indonesia",-6.516700,107.916900,124129,145.1000000000,0.728
322,"Bali","India",22.650000,88.340000,293373,423.8000000000,0.685
323,"Balikpapan","Indonesia",-1.276800,116.827700,598043,145.1000000000,0.728
324,"Aizuwakamatsu","Japan",37.494800,139.929800,117924,333.5000000000,0.925
325,"Baliuag","Philippines",14.954000,120.901000,168470,324.4000000000,0.720
326,"Balikesir","Turkey",39.633300,27.883300,314958,108.5000000000,0.853
327,"Balkanabat","Turkmenistan",39.516700,54.366700,188429,12.5000000000,0.764
328,"Anchorage","United States of America",61.150800,-149.109100,289069,64.4000000000,0.938
329,"Ballarat","Australia",-37.560800,143.847500,116201,962.2000000000,0.958
330,"Ajax","Canada",43.858300,-79.036400,126666,1953.8000000000,0.939
331,"Ballia","India",25.760400,84.147100,104424,423.8000000000,0.685
332,"Ajdabiya","Libya",30.770000,20.220000,416000,4.0000000000,0.721
333,"Ajmer","India",26.449900,74.639900,551101,423.8000000000,0.685
334,"Bijeljina","Bosnia and Herzegovina",44.756700,19.215600,114663,63.7000000000,0.804
335,"Anda","China",46.424000,125.352000,357535,148.8000000000,0.797
336,"Akcaabat","Turkey",41.016700,39.550000,129290,342.2000000000,0.853
337,"Bijiao","China",22.925300,113.206700,270310,148.8000000000,0.797
338,"Balneario de Camboriu","Brazil",-26.990800,-48.635000,139155,25.1000000000,0.786
